COMPONENT_ARBITRARY,YEAR,Y_LABEL,AG,CO,CR,CU,FE,H2O,MN,MO,NI,PQINDEX,TI,V,V40,ZN,ANONYMOUS_SUM
COMPONENT3,2017,0,0.0,0.0,0.0,3.0,70.5,0.0,1.0,0.0,0.0,94.0,0.0,0.0,134.0,45.5,-1.9468974377323642
COMPONENT3,2017,1,0.0,0.0,4.0,4.0,349.5,0.0,5.0,0.0,0.0,612.0,0.0,0.0,134.55,34.5,-1.9534057361081296
COMPONENT3,2018,0,0.0,0.0,1.0,3.0,79.5,0.0,1.0,0.0,0.0,102.5,0.0,0.0,138.45,31.5,-1.9544387308272932
COMPONENT3,2018,1,0.0,0.0,3.0,3.0,302.0,0.0,4.0,0.0,0.0,808.0,0.0,0.0,135.2,47.0,-1.949713732256644
COMPONENT3,2019,0,0.0,0.0,1.0,3.0,98.0,0.0,2.0,0.0,0.0,114.0,0.0,0.0,134.2,85.0,-1.957619602050325
COMPONENT3,2019,1,0.0,0.0,4.0,3.0,411.5,0.0,6.0,1.0,1.0,627.0,0.0,0.0,136.7,76.5,-1.9621512701641923
COMPONENT3,2020,0,0.0,0.0,1.0,3.0,98.0,0.0,1.5,0.0,0.0,126.0,0.0,0.0,123.5,133.0,-1.915243763959836
COMPONENT3,2020,1,0.0,0.0,3.0,7.0,229.0,0.0,5.0,0.0,0.0,345.0,0.0,0.0,128.1,39.0,-1.909426661264072
COMPONENT3,2021,0,0.0,0.0,0.0,3.0,64.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,125.85,95.0,-1.9275351938099723
COMPONENT3,2021,1,0.0,0.0,6.0,3.0,398.0,0.0,5.0,0.0,1.0,458.0,0.0,0.0,131.8,38.0,-1.9200207189615983
COMPONENT3,2022,0,0.0,0.0,0.0,8.5,67.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,117.55,1220.0,-1.9098406467146054
COMPONENT3,2022,1,0.0,0.0,5.5,5.0,884.5,0.0,7.0,0.0,3.0,888.0,6.5,0.0,138.8,89.0,-1.905249663649533
COMPONENT4,2007,0,0.0,0.0,0.0,373.0,15.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,65.4,1173.0,-1.9231036078438883
COMPONENT4,2008,0,0.0,0.0,0.0,310.5,16.0,0.0,1.0,10.5,0.0,15.0,0.0,0.0,67.55000000000001,1163.5,-1.923506441923486
COMPONENT4,2008,1,0.0,0.0,0.0,343.0,20.0,0.0,0.0,25.0,0.0,18.0,0.0,0.0,70.8,1267.0,-1.9212846059099782
COMPONENT4,2009,0,0.0,0.0,0.0,268.5,15.5,0.0,0.0,54.0,0.0,14.0,0.0,0.0,70.19999999999999,1115.5,-1.990417480260759
COMPONENT4,2009,1,0.0,0.0,0.0,228.0,15.0,0.0,0.5,8.0,0.0,16.5,0.0,0.0,70.0,1135.5,-1.9850230532525022
COMPONENT4,2010,0,0.0,0.0,0.0,346.0,22.0,0.0,0.0,29.0,0.0,12.0,0.0,0.0,71.8,1181.0,-1.9808690377609892
COMPONENT4,2010,1,0.0,0.0,0.0,100.0,27.0,0.0,0.0,130.0,0.0,12.0,0.0,0.0,77.6,1126.0,-1.9537028377090944
COMPONENT4,2011,0,0.0,0.0,0.0,112.0,16.0,0.0,0.0,12.0,0.0,15.5,0.0,0.0,71.15,1153.0,-1.9920872649948373
COMPONENT4,2011,1,0.0,0.0,0.0,21.0,43.0,0.0,2.0,32.0,0.0,29.0,0.0,0.0,63.1,1157.0,-1.9228851521843537
COMPONENT4,2012,0,0.0,0.0,0.0,29.0,15.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,70.3,1162.0,-1.9925302691079603
COMPONENT4,2012,1,0.0,0.0,0.0,22.0,28.0,0.0,17.0,39.0,0.0,20.0,0.0,0.0,62.7,1244.0,-1.9795195790779383
COMPONENT4,2013,0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,17.5,0.0,15.0,0.0,0.0,72.3,1154.0,-1.9928574106068817
COMPONENT4,2013,1,0.0,0.0,0.0,23.0,19.5,0.0,1.0,3.5,0.0,19.5,0.0,0.0,60.650000000000006,1058.5,-1.9923871447021821
COMPONENT4,2014,0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,27.0,0.0,20.0,0.0,0.0,72.4,1133.0,-1.9878344255088582
COMPONENT4,2014,1,0.0,0.0,0.0,8.0,23.0,0.0,0.0,8.0,0.0,43.0,0.0,0.0,72.8,1153.0,-1.9621265560519474
COMPONENT4,2015,0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,41.0,0.0,16.0,0.0,0.0,74.4,1150.0,-1.9849923837369783
COMPONENT4,2015,1,0.0,0.0,0.0,15.0,35.0,0.0,2.5,11.0,0.0,23.0,0.0,0.0,70.19999999999999,953.0,-1.9858920228590125
COMPONENT4,2016,0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,22.0,0.0,15.0,0.0,0.0,72.2,1178.0,-1.9835134315439376
COMPONENT4,2016,1,0.0,0.0,0.0,2.0,18.0,0.0,0.0,41.5,0.0,71.0,0.0,0.0,78.9,1100.0,-1.9845800491393795
COMPONENT4,2017,0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,7.0,0.0,15.0,0.0,0.0,70.1,1153.0,-1.9587665402401084
COMPONENT4,2017,1,0.0,0.0,1.0,29.5,68.5,0.0,1.5,0.5,0.0,80.0,0.0,0.0,110.1,1161.0,-1.9379193757395912
COMPONENT4,2018,0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,0.0,14.5,0.0,0.0,70.9,1129.0,-1.9805146344704907
COMPONENT4,2018,1,0.0,0.0,0.0,83.0,32.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,62.6,1099.0,-1.9117830991280393
COMPONENT4,2019,0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,66.0,1004.0,-1.962249234114043
COMPONENT4,2019,1,0.0,0.0,0.0,7.5,31.5,0.0,0.0,2.0,0.0,49.5,0.0,0.0,47.2,371.0,-1.9556996763149068
COMPONENT4,2020,0,0.0,0.0,0.0,2.0,11.5,0.0,0.0,5.5,0.0,12.0,0.0,0.0,68.35,1057.0,-1.9209729019414452
COMPONENT4,2020,1,0.0,0.0,0.0,17.5,44.0,0.0,1.5,22.0,0.0,48.0,0.0,0.0,53.349999999999994,480.5,-1.9580847531236525
COMPONENT4,2021,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,71.4,1038.0,-1.9047097979582108
COMPONENT4,2021,1,0.0,0.0,0.0,5.5,54.5,0.0,0.0,5.5,0.0,25.0,0.0,0.0,64.0,1109.0,-1.9770012710810323
COMPONENT4,2022,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,70.4,1077.0,-1.9125757465363056
COMPONENT4,2022,1,0.0,0.0,0.0,1.0,11.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,59.8,1162.0,-1.8949135327912026
