"tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm","stk_etf_dit_cd","ltg_tot_stk_qty","fc_mkt_dit_cd","co_adr","web_adr","btp_cfc_nm","ceo_nm","eng_utk_otl_cts","ser_cfc_nm","ids_nm","mkt_pr_tot_amt"
ABBV,애브비                                                         ,AbbVie                                                      ,주식,1766343745,NYSE,"1 N Waukegan Rd   NORTH CHICAGO IL 60064 United States",https://www.abbvie.com/,Pharmaceuticals (NEC),Richard Gonzalez,"AbbVie Inc. is a diversified research-based biopharmaceutical company engaged in the research and development, manufacturing, commercialization and sale of medicines and therapies. It offers a comprehensive product portfolio across Immunology, Oncology, Neuroscience, Eye Care, Aesthetics, and Other Specialties. Immunology includes Rheumatology, Dermatology, and Gastroenterology. Oncology includes Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, Chronic Lymphocytic Leukemia, Diffuse large B-cell lymphoma, and others. Neuroscience includes Parkinson's disease, Migraine, Movement Disorders, Psychiatric Disorders, and Alzheimer?? disease. Eye Care includes Chronic Dry Eye Disease, Glaucoma, Age-Related Retinal Diseases, and Refractive Disorders. Aesthetics includes Botox Cosmetic, The Juvederm Collection of Fillers, and others. It offers NX-13 for the treatment of ulcerative colitis (UC) and Crohn's disease (CD). It also offers CEL383 for the treatment of inflammatory bowel disease.",Healthcare,Drug Manufacturers - General,348746.910000
ABCB,Ameris                                                      ,Ameris                                                      ,주식,69067019,NYSE,"3490 Piedmont Rd NE Ste 1550   ATLANTA GA 30305-4800 United States",https://www.amerisbank.com/,Banks (NEC),James Miller,"Ameris Bancorp is a financial holding company, through its subsidiary, Ameris Bank (the Bank) provides a range of banking services to its retail and commercial customers in 164 locations in Georgia, Alabama, Florida, North Carolina and South Carolina. Its segments include the Banking Division, which provides full service financial services, including commercial loans, consumer loans and deposit accounts; the Retail Mortgage Division, which is engaged in origination, sales and servicing of one-to-four family residential mortgage loans; the Warehouse Lending Division is engaged in the origination and servicing of warehouse lines to other businesses are secured by underlying one-to-four family residential mortgage loans and residential mortgage servicing rights; the SBA Division is engaged in the origination, sales and servicing of small business administration loans, and the Premium Finance Division engaged in the origination and servicing of commercial insurance premium finance loans.",Financial Services,Banks - Regional,4230.350000
ABCL,Abcellera                                                   ,Abcellera                                                   ,주식,294665532,NASD,"2215 Yukon Street   VANCOUVER BC V5Y 0A1 Canada",https://www.abcellera.com/,Biotechnology & Medical Research (NEC),Carl Hansen,"AbCellera Biologics Inc. is focused on the development of antibody-based drugs and is committed to improving discovery and development. It is engaged in antibody discovery and development engine is specifically designed to break the barriers of conventional discovery. It provides biotech and pharmaceutical companies with an advantage that empowers them to move quickly, reduce cost, and tackle the toughest problems in drug development. The Company uses the engine to both work with partners to build a large and diversified portfolio of royalty stakes in antibody drugs and to develop its own pipeline of antibody drugs. The Company partners with companies of all sizes, from biotechnology companies to pharmaceutical companies-propelling programs to the clinic, together. It generates a range of diverse antibodies with immunization strategies and single-cell screening.",Healthcare,Biotechnology,794.120000
ABG,애즈버리 오토모티브 그룹                                               ,Asbury Auto GP                                              ,주식,19980100,NYSE,"SUITE 300, 2905 PREMIERE PARKWAY NW   DULUTH GA 30097 United States",https://www.asburyauto.com/,"Auto Vehicles, Parts & Service Retailers",David Hult,"Asbury Automotive Group, Inc. is an automotive retailer company. The Company operates through two segments: Dealerships and Total Care Auto (TCA). The Company offers a range of automotive products and services, including new and used vehicles; parts and service, which includes vehicle repair and maintenance services, replacement parts and collision repair services, and finance and insurance (F&I) products, which includes arranging vehicle financing through third parties and aftermarket products, such as extended service contracts, guaranteed asset protection (GAP) debt cancellation and prepaid maintenance. The Company operates approximately 154 new vehicle dealerships, consisting of 204 franchises, representing 31 domestic and foreign brands of vehicles. Its TCA, powered by Landcar, is a provider of service contracts and other vehicle protection products, and 37 collision repair centers.",Consumer Cyclical,Auto & Truck Dealerships,4876.340000
ABM,ABM 인더스트리즈                                                  ,ABM Industries                                              ,주식,62763623,NYSE,"One Liberty Plaza, 7Th Floor   NEW YORK NY 10006 United States",https://www.abm.com/,Business Support Services (NEC),Scott Salmirs,"ABM Industries Incorporated, which operates through its subsidiaries, is a provider of integrated facility, infrastructure, and mobility solutions. Its segments include Business & Industry (B&I), Manufacturing & Distribution (M&D), Education, Aviation, and Technical Solutions. The B&I segment encompasses janitorial, facilities engineering, and parking services for commercial real estate properties, sports and entertainment venues, and other facilities. The M&D segment provides integrated facility services, engineering, janitorial, and other specialized services. The Education segment delivers janitorial, custodial, landscaping and grounds, facilities engineering, and parking services. The Aviation segment supports airlines and airports with services ranging from parking and janitorial to passenger assistance, catering logistics, air cabin maintenance, and transportation. The Technical Solutions segment specializes in facility infrastructure, mechanical and electrical services.",Industrials,Specialty Business Services,3501.580000
ABNB,Airbnb                                                      ,Airbnb                                                      ,주식,641623465,NASD,"888 Brannan St.   SAN FRANCISCO CA 94103 United States",https://www.airbnb.com,Online Services (NEC),Brian Chesky,"Airbnb, Inc. operates a global platform for stays and experiences. The Company?? marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences around the world. It built its platform to onboard new hosts, especially those who previously had not considered hosting. It partners with hosts throughout the process of setting up their listing and provides them with a suite of tools to manage their listings, including scheduling, merchandising, integrated payments, community support, host protection, pricing guidance, and feedback from reviews. Its Website and mobile applications provide its guests with a way to explore a variety of homes and experiences and an easy way to book them. Its technology platform powers its two-sided marketplace and enables its global network of hosts and guests. The Company owns a trademark portfolio with protection in 170 countries in which it operates for its primary brands, AIRBNB, and its Belo logo.",Consumer Cyclical,Travel Services,73177.720000
ABOS,Acumen                                                      ,Acumen                                                      ,주식,60079778,NASD,"427 PARK ST.   CHARLOTTESVILLE VA 22902 United States",https://acumenpharm.com/,Biotechnology & Medical Research (NEC),James Doherty,"Acumen Pharmaceuticals, Inc. is a clinical-stage biopharmaceutical company. The Company is engaged in developing a disease-modifying approach to target underlying cause of Alzheimer's disease (AD). The Company is focused on focused on advancing a targeted immunotherapy drug candidate, sabirnetug (ACU193), in clinical development following Phase I results in early AD patients (patients with mild cognitive impairment or mild dementia due to Alzheimer?? pathology). Sabirnetug is a recombinant humanized immunoglobulin gamma 2 (IgG2), monoclonal antibody (mAb) that selectively targets the anti-amyloid-beta oligomer (AbOs), has demonstrated functional and protective effects in in-vitro assays, and has demonstrated in-vivo safety and pharmacologic activity in multiple animal species including transgenic models for AD. The Company is developing sabirnetug for intravenous (IV), administration every four weeks for the treatment of early AD.",Healthcare,Biotechnology,176.630000
ABR,아버 리얼티 트러스트                                                 ,Arbor Realty Tr                                             ,주식,188548879,NYSE,"SUITE 900, 333 EARLE OVINGTON BOULEVARD   UNIONDALE NY 11553 United States",https://arbor.com/,Mortgage REITs,Ivan Kaufman,"Arbor Realty Trust, Inc. is a real estate investment trust. The Company?? segments include Structured Business and Agency Business. Through its Structured Business, it invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental (SFR) and commercial real estate markets, primarily consisting of bridge loans, in addition to mezzanine loans, junior participating interests in first mortgages and preferred and direct equity. It also invests in real estate-related joint ventures and may directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. Through its Agency Business, the Company originates, sells, and services a range of multifamily finance products through Fannie Mae and Freddie Mac, Ginnie Mae, Federal Housing Authority (FHA), and Housing and Urban Development (HUD). It originates, sells, and services a range of multifamily finance products.",Real Estate,REIT - Mortgage,2547.300000
ABSI,Absci                                                       ,Absci                                                       ,주식,113556334,NASD,"18105 Se Mill Plain Blvd   VANCOUVER WA 98683 United States",https://www.absci.com/,Biotechnology & Medical Research (NEC),Sean Mcclain,"Absci Corporation is a generative artificial intelligence (AI) drug creation company. The Company combines AI with scalable wet lab technologies to create biologics for patients. It has built an Integrated Drug Creation platform to identify novel drug targets, discover biotherapeutic candidates, and generate the cell lines to manufacture them in a single process. The Company uses its platform to predict, identify, design, construct, screen, select and scale production of biologic drug candidates for its partners, and learn from the data it generates. Its SoluPro technology is a multiplex synthetic biology approach that overcomes the limitations of highest-throughput automation labs. The Company supports its generative AI designs with its wet lab's high-throughput functional validation capabilities. It reconstructs prevalent immune-response molecules, such as antibodies from disease tissue and identify their corresponding antigens, offering new therapeutic targets.",Healthcare,Biotechnology,509.870000
ABT,애보트 래버러토리                                                   ,Abbott                                                      ,주식,1739897004,NYSE,"100 Abbott Park Road, Abbot Park   ABBOTT PARK IL 60064-3500 United States",https://www.abbott.com,"Medical Equipment, Supplies & Distributi",Robert Ford,"Abbott Laboratories is a global healthcare company. The Company is engaged in the discovery, development, manufacture, and sale of a broad and diversified line of health care products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment is engaged in the international sales of a broad line of branded generic pharmaceutical products. The Diagnostic Products segment is engaged in the worldwide sales of diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Nutritional Products segment is involved in the worldwide sales of a broad line of adult and pediatric nutritional products. The Medical Devices segment includes the worldwide sales of rhythm management, electrophysiology, heart failure, vascular, structural heart, neuromodulation, and diabetes care products.",Healthcare,Medical Devices,196086.390000
ABUS,아버터스 바이오파마                                                  ,Arbutus Biopharm                                            ,주식,188782029,NASD,"701 Veterans Circle   WARMINSTER PA 18974 United States",https://www.arbutusbio.com/,Biotechnology & Medical Research (NEC),Michael Mcelhaugh,"Arbutus Biopharma Corporation is a clinical-stage biopharmaceutical company. The Company is leveraging its virology expertise to identify and develop novel therapeutics with distinct mechanisms of action, which can potentially be combined to provide a functional cure for patients with chronic hepatitis B virus (cHBV) infection. Its HBV product pipeline includes Imdusiran and AB-101. Imdusiran is its proprietary, conjugated GalNAc, subcutaneously delivered RNAi therapeutic product candidate. AB-101 is an oral PD-L1 inhibitor that has the potential to reawaken patients??HBV-specific immune response by inhibiting PD-L1. Its pipeline includes two product candidates that target various steps in the HBV viral lifecycle and consists of various programs: RNAi therapeutic (imdusiran, AB-729) and Oral PD-L1 Inhibitor (AB-101). RNAi therapeutics utilize a natural pathway within cells to silence genes by eliminating the disease-causing proteins that they code for.",Healthcare,Biotechnology,734.360000
AC,어소시에이티드 캐피털 그룹                                              ,Assoctd Cap Grp                                             ,주식,21270565,NYSE,"191 Mason Street   GREENWICH CT 06830 United States",https://www.associated-capital-group.com/,Investment Management,Mario Gabelli,"Associated Capital Group, Inc. is a diversified global financial services company. The Company provides alternative investment management services and operates a direct investment business that invests in businesses that fit its criteria over time. The Company conducts its investment management activities through its wholly owned subsidiary Gabelli & Company Investment Advisers, Inc. (GCIA) and its wholly owned subsidiary, Gabelli & Partners, LLC (Gabelli & Partners). GCIA and Gabelli & Partners together serve as general partners or investment managers to investment funds, including limited partnerships and offshore companies (collectively, Investment Partnerships), and separate accounts. It primarily manages assets across a range of risk and event arbitrage portfolios and in equity event-driven value strategies. It serves a variety of investors globally, including private wealth management clients, corporations, corporate pension and profit-sharing plans, foundations and endowments.",Financial Services,Asset Management,707.250000
ACA,"Arcosa, Inc.                                                ",Arcosa                                                      ,주식,48783999,NYSE,"500 N Akard St Ste 400   DALLAS TX 75201-3332 United States",https://www.arcosa.com/,Construction & Engineering (NEC),Antonio Carrillo,"Arcosa, Inc. is a provider of infrastructure-related products and solutions. It operates through three segments: Construction Products, Engineered Structures and Transportation Products. Its Construction Products segment produces and sells natural and recycled aggregates, specialty materials, and construction site support equipment, including trench shields and shoring products. Its Engineered Structures segment manufactures and sells steel structures for infrastructure businesses, including utility structures for electricity transmission and distribution, structural wind towers, traffic structures, and telecommunication structures. Its Transportation Products segment manufactures and sells inland barges, fiberglass barge covers, winches, marine hardware, and steel components for railcars and other transportation and industrial equipment. It also manufactures concrete and steel poles for a range of infrastructure applications, including lighting, traffic, and electric distribution.",Industrials,Engineering & Construction,4519.840000
ACAD,아카디아 파마수티컬스                                                 ,ACADIA Pharm                                                ,주식,165876052,NASD,"12830 El Camino Real, Suite 400   SAN DIEGO CA 92130 United States",https://acadia.com/,Biotechnology & Medical Research (NEC),Stephen Davis,"Acadia Pharmaceuticals Inc. is a biopharmaceutical company. The Company is focused on the development and commercialization of medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases. It has a portfolio of commercial stage products, in-development product opportunities, and research programs that are designed to address unmet needs in CNS disorders and rare diseases. Its pipeline includes NUPLAZID (pimavanserin), DAYBUE (trofinetide), ACP-101, ACP-204, and Antisense Oligonucleotide (ASO) Programs. NUPLAZID is a selective serotonin inverse agonist/antagonist preferentially targeting the 5-HT2A receptor. NUPLAZID is developed for the treatment for Parkinson's Disease Psychosis. Trofinetide is a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 (IGF-1) designed to treat the core symptoms of Rett syndrome by reducing neuroinflammation and supporting synaptic function.",Healthcare,Biotechnology,2667.290000
ACCD,Accolade                                                    ,Accolade                                                    ,주식,78841570,NASD,"660 W. Germantown Pike Suite 500   PLYMOUTH MEETING PA 19462 United States",https://www.accolade.com,Healthcare Facilities & Services (NEC),Rajeev Singh,"Accolade, Inc. provides personalized, technology-enabled solutions that help people understand, navigate, and utilize the healthcare system and their workplace benefits. Its customers are primarily employers that deploy Accolade solutions in order to provide employees and their families with a single place to turn for their health, healthcare, and benefits needs. It also offers medical opinion services to commercial customers and virtual primary care and mental health support. Its platform, True Health Engine, combines open, cloud-based intelligent technology with multimodal support from a team of empathetic and knowledgeable Accolade Health Assistants and clinicians, including registered nurses, physician medical directors, pharmacists, behavioral health specialists, women?? health specialists, case management specialists, expert medical opinion providers, and virtual primary care physicians. Its offerings include Accolade Expert MD, Accolade Care, Plus and Connect and Accolade One.",Healthcare,Health Information Services,352.840000
ACCO,애코 브랜즈                                                      ,ACCO Brands                                                 ,주식,95797838,NYSE,Four Corporate Drive   LAKE ZURICH IL 60047 United States,https://www.accobrands.com/,Business Support Supplies (NEC),Thomas Tedford,"ACCO Brands Corporation is a global consumer, technology and business branded products company, providing brands and innovative product solutions used in schools, homes and at work. The Company operates through two segments: ACCO Brands Americas and ACCO Brands International. The Americas includes the U.S., Canada, Brazil, Mexico and Chile, and International includes EMEA, Australia, New Zealand and Asia. Its primary products include note-taking products, computer and gaming accessories; planners; workspace machines, tools and essentials; dry erase boards and accessories; filing and organization products; writing and art products and others. Its primary brands include Five Star, PowerA, Tilibra, AT-A-GLANCE, Kensington, Quartet, GBC, Mead, Swingline, Barrilito, Foroni, Hilroy, Leitz, Rapid, Esselte, Rexel, NOBO, Franken, Derwent, Marbig, Artline and Spirax among others. The Company distributes its products through a variety of channels and sells directly through e-commerce sites.",Industrials,Business Equipment & Supplies,522.100000
ACDC,Profrac Holding                                             ,Profrac Holding                                             ,주식,160146602,NASD,"333 Shops Boulevard, Suite 301   WILLOW PARK TX 76087 United States",https://profrac.com/,Oil Related Services and Equipment (NEC),Matthew Wilks,"ProFrac Holding Corp. is a technology-focused, vertically integrated energy services company. The Company is engaged in providing well stimulation services, proppants production and other complementary products and services to oil and gas companies engaged in the exploration and production (E&P) of unconventional oil and natural gas resources throughout the United States. It has segments: stimulation services, proppant production and manufacturing. Its stimulation services segment owns and operates a fleet of mobile hydraulic fracturing units and other auxiliary equipment that generates revenue by providing stimulation services to its customers. Its proppant production segment provides proppant to oilfield service providers and E&P companies. Its manufacturing segment sells highly engineered, tight tolerance machined, assembled, and factory tested products, such as high horsepower pumps, valves, piping, swivels, large-bore manifold systems and fluid ends.",Energy,Oil & Gas Equipment & Services,1080.990000
ACEL,TPG Pace Hldg                                               ,Accel Ent                                                   ,주식,82634762,NYSE,"140 Tower Dr   BURR RIDGE IL 60527 United States",https://www.accelentertainment.com/,Gaming Machine Operators,Andrew Rubenstein,"Accel Entertainment, Inc. is a distributed gaming operator in the United States and a partner for local business owners in the markets it serves. The Company's business consists of the installation, maintenance and operation of gaming terminals, redemption devices that disburse winnings and contain automated teller machine (ATM) functionality, and other amusement devices in authorized non-casino locations such as restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. It also operates ATMs in gaming and non-gaming locations. The Company?? gaming-as-a-service platform provides local businesses with a turnkey gaming solution. It owns all of its gaming equipment and manages the operating process for its licensed partners. In addition to its gaming business, it also installs, operates and services redemption devices that have ATM functionality, ATMs and amusement devices, including jukeboxes, dartboards, pool tables, pinball machines and others.",Consumer Cyclical,Gambling,946.990000
ACGL,아치 캐피털 그룹                                                   ,Arch Capital Grp                                            ,주식,376057841,NASD,"WATERLOO HOUSE GROUND FLOOR, 100 PITTS BAY ROAD  PEMBROKE   HM 08 Bermuda",https://www.archgroup.com/,Property & Casualty Insurance (NEC),Nicolas Papadopoulo,"Arch Capital Group Ltd. is a Bermuda-based company, which provides insurance, reinsurance and mortgage insurance through its subsidiaries. The insurance segment consists of the Company?? insurance underwriting units, which offer specialty product lines, including construction and national accounts; excess and surplus casualty; professional lines; programs; property, energy, marine and aviation; travel, accident and health; warranty and lenders solutions, and others (consisting of alternative markets, excess workers' compensation and surety business). The reinsurance segment consists of its reinsurance underwriting units, which offer specialty product lines, including casualty; marine and aviation; other specialty; property catastrophe; property excluding property catastrophe, and other (consisting of life reinsurance and other). The mortgage segment includes its United States primary mortgage insurance business, investment and services related to United States credit-risk transfer.",Financial Services,Insurance - Diversified,41182.090000
ACHC,아카디아 헬스케어                                                   ,Acadia Health                                               ,주식,92867210,NASD,"SUITE 610, 830 CRESCENT CENTRE DRIVE   FRANKLIN TN 37067 United States",https://www.acadiahealthcare.com/,Healthcare Facilities & Services (NEC),Christopher Hunter,"Acadia Healthcare Company, Inc. provides behavioral healthcare services across the United States. Its facilities and services are classified into various categories: acute inpatient psychiatric facilities, specialty treatment facilities, comprehensive treatment centers (CTCs) and residential treatment centers. Outpatient programs associated with its facilities are included within each respective service line. Its acute inpatient psychiatric facilities provide a high level of care in order to stabilize patients that are either a threat to themselves or to others. Its specialty treatment facilities include residential recovery facilities and eating disorder facilities. It operates over 10 CTC locations in North Carolina and 160 locations in 32 states across the country. Its residential treatment centers treat patients with behavioral disorders in a non-hospital setting. It operates a network of over 253 behavioral healthcare facilities with 11,200 beds in 38 states and Puerto Rico.",Healthcare,Medical Care Facilities,7271.500000
ACHR,Archer Aviation                                             ,Archer Aviation                                             ,주식,355553557,NYSE,"190 West Tasman Drive   SAN JOSE CA 95134 United States",https://www.archer.com/,Aerospace & Defense (NEC),Adam Goldstein,"Archer Aviation Inc. is an aerospace company. The Company is engaged in designing and developing electric vertical takeoff and landing (eVTOL) aircraft for use in urban air mobility (UAM) networks. The Company?? eVTOL aircraft are designed to be safe, sustainable, and quiet. Its production aircraft, Midnight, is designed around its proprietary 12-tilt-6 aircraft configuration. Midnight is designed to carry four passengers plus a pilot optimized for back-to-back short distance trips of around 20-miles, with minimal charging time between trips. It intends to operate two complementary lines of business: a direct-to-consumer aerial ride share service (Archer UAM) and the sale of its aircraft to other operators (Archer Direct). Midnight is the evolution of its demonstrator eVTOL aircraft, Maker, which through its flight test program has helped validate its proprietary 12-tilt-6 aircraft configuration and certain key enabling technologies.",Industrials,Aerospace & Defense,1397.340000
