text
"2024- 05- 28의 S&P500 종가는 5,306.04이며 S&P500 시가는 5,315.91를 기록했습니다. S&P500 고가는 5,315.91였고 S&P500 저가: 5,280.89입니다. S&P500 변동 퍼센티지는 0.02%이고, 환율 종가는 1,362.42입니다. 환율 시가는 1,361.69입니다. 환율 고가는 1,364.63이며 환율 저가는 1,355.27입니다. 환율 변동은 0.18%입니다."
"2024- 06- 24의 S&P500 종가는 5,447.87이며 S&P500 시가는 5,459.58를 기록했습니다. S&P500 고가는 5,490.66였고 S&P500 저가: 5,447.59입니다. S&P500 변동 퍼센티지는 -0.31%이고, 환율 종가는 1,386.37입니다. 환율 시가는 1,388.95입니다. 환율 고가는 1,393.22이며 환율 저가는 1,384.48입니다. 환율 변동은 -0.05%입니다."
"2024- 06- 25의 S&P500 종가는 5,469.30이며 S&P500 시가는 5,460.73를 기록했습니다. S&P500 고가는 5,472.88였고 S&P500 저가: 5,446.56입니다. S&P500 변동 퍼센티지는 0.39%이고, 환율 종가는 1,390.44입니다. 환율 시가는 1,386.79입니다. 환율 고가는 1,392.64이며 환율 저가는 1,383.85입니다. 환율 변동은 0.29%입니다."
"2024- 06- 26의 S&P500 종가는 5,477.90이며 S&P500 시가는 5,460.71를 기록했습니다. S&P500 고가는 5,483.14였고 S&P500 저가: 5,451.87입니다. S&P500 변동 퍼센티지는 0.16%이고, 환율 종가는 1,392.90입니다. 환율 시가는 1,391.58입니다. 환율 고가는 1,395.25이며 환율 저가는 1,387.66입니다. 환율 변동은 0.18%입니다."
"2024- 06- 27의 S&P500 종가는 5,482.87이며 S&P500 시가는 5,473.59를 기록했습니다. S&P500 고가는 5,490.81였고 S&P500 저가: 5,467.54입니다. S&P500 변동 퍼센티지는 0.09%이고, 환율 종가는 1,386.35입니다. 환율 시가는 1,394.31입니다. 환율 고가는 1,395.77이며 환율 저가는 1,383.49입니다. 환율 변동은 -0.47%입니다."
"2024- 06- 28의 S&P500 종가는 5,460.48이며 S&P500 시가는 5,488.48를 기록했습니다. S&P500 고가는 5,523.64였고 S&P500 저가: 5,451.12입니다. S&P500 변동 퍼센티지는 -0.41%이고, 환율 종가는 1,380.73입니다. 환율 시가는 1,387.71입니다. 환율 고가는 1,390.18이며 환율 저가는 1,374.64입니다. 환율 변동은 -0.41%입니다."
"2024- 07- 01의 S&P500 종가는 5,475.09이며 S&P500 시가는 5,471.08를 기록했습니다. S&P500 고가는 5,479.55였고 S&P500 저가: 5,446.53입니다. S&P500 변동 퍼센티지는 0.27%이고, 환율 종가는 1,382.50입니다. 환율 시가는 1,381.28입니다. 환율 고가는 1,385.57이며 환율 저가는 1,377.29입니다. 환율 변동은 0.13%입니다."
"2024- 07- 02의 S&P500 종가는 5,509.01이며 S&P500 시가는 5,461.84를 기록했습니다. S&P500 고가는 5,509.69였고 S&P500 저가: 5,458.43입니다. S&P500 변동 퍼센티지는 0.62%이고, 환율 종가는 1,386.03입니다. 환율 시가는 1,383.53입니다. 환율 고가는 1,390.82이며 환율 저가는 1,381.87입니다. 환율 변동은 0.26%입니다."
"2024- 07- 03의 S&P500 종가는 5,537.02이며 S&P500 시가는 5,507.44를 기록했습니다. S&P500 고가는 5,539.27였고 S&P500 저가: 5,507.42입니다. S&P500 변동 퍼센티지는 0.51%이고, 환율 종가는 1,386.80입니다. 환율 시가는 1,386.73입니다. 환율 고가는 1,392.65이며 환율 저가는 1,381.54입니다. 환율 변동은 0.06%입니다."
"2024- 07- 05의 S&P500 종가는 5,567.19이며 S&P500 시가는 5,537.91를 기록했습니다. S&P500 고가는 5,570.33였고 S&P500 저가: 5,531.63입니다. S&P500 변동 퍼센티지는 0.54%이고, 환율 종가는 1,376.57입니다. 환율 시가는 1,380.32입니다. 환율 고가는 1,384.33이며 환율 저가는 1,376.14입니다. 환율 변동은 -0.26%입니다."
"2024- 07- 08의 S&P500 종가는 5,572.85이며 S&P500 시가는 5,572.75를 기록했습니다. S&P500 고가는 5,583.11였고 S&P500 저가: 5,562.51입니다. S&P500 변동 퍼센티지는 0.10%이고, 환율 종가는 1,383.27입니다. 환율 시가는 1,377.51입니다. 환율 고가는 1,386.00이며 환율 저가는 1,376.45입니다. 환율 변동은 0.49%입니다."
"2024- 07- 09의 S&P500 종가는 5,576.98이며 S&P500 시가는 5,584.24를 기록했습니다. S&P500 고가는 5,590.75였고 S&P500 저가: 5,574.57입니다. S&P500 변동 퍼센티지는 0.07%이고, 환율 종가는 1,382.92입니다. 환율 시가는 1,384.18입니다. 환율 고가는 1,387.24이며 환율 저가는 1,380.66입니다. 환율 변동은 -0.03%입니다."
"2024- 07- 10의 S&P500 종가는 5,633.91이며 S&P500 시가는 5,591.26를 기록했습니다. S&P500 고가는 5,635.39였고 S&P500 저가: 5,586.44입니다. S&P500 변동 퍼센티지는 1.02%이고, 환율 종가는 1,382.81입니다. 환율 시가는 1,383.86입니다. 환율 고가는 1,388.38이며 환율 저가는 1,382.08입니다. 환율 변동은 -0.01%입니다."
"2024- 07- 11의 S&P500 종가는 5,584.54이며 S&P500 시가는 5,635.21를 기록했습니다. S&P500 고가는 5,642.45였고 S&P500 저가: 5,576.53입니다. S&P500 변동 퍼센티지는 -0.88%이고, 환율 종가는 1,370.96입니다. 환율 시가는 1,383.94입니다. 환율 고가는 1,384.84이며 환율 저가는 1,369.82입니다. 환율 변동은 -0.86%입니다."
"2024- 07- 12의 S&P500 종가는 5,615.35이며 S&P500 시가는 5,590.76를 기록했습니다. S&P500 고가는 5,655.56였고 S&P500 저가: 5,590.44입니다. S&P500 변동 퍼센티지는 0.55%이고, 환율 종가는 1,373.67입니다. 환율 시가는 1,372.30입니다. 환율 고가는 1,380.27이며 환율 저가는 1,369.54입니다. 환율 변동은 0.20%입니다."
"2024- 07- 15의 S&P500 종가는 5,631.22이며 S&P500 시가는 5,638.16를 기록했습니다. S&P500 고가는 5,666.94였고 S&P500 저가: 5,614.75입니다. S&P500 변동 퍼센티지는 0.28%이고, 환율 종가는 1,384.17입니다. 환율 시가는 1,375.13입니다. 환율 고가는 1,386.17이며 환율 저가는 1,374.38입니다. 환율 변동은 0.76%입니다."
"2024- 07- 16의 S&P500 종가는 5,667.20이며 S&P500 시가는 5,644.09를 기록했습니다. S&P500 고가는 5,669.67였고 S&P500 저가: 5,639.02입니다. S&P500 변동 퍼센티지는 0.64%이고, 환율 종가는 1,382.77입니다. 환율 시가는 1,385.31입니다. 환율 고가는 1,387.97이며 환율 저가는 1,381.60입니다. 환율 변동은 -0.10%입니다."
"2024- 07- 17의 S&P500 종가는 5,588.27이며 S&P500 시가는 5,610.07를 기록했습니다. S&P500 고가는 5,622.49였고 S&P500 저가: 5,584.81입니다. S&P500 변동 퍼센티지는 -1.39%이고, 환율 종가는 1,378.51입니다. 환율 시가는 1,383.84입니다. 환율 고가는 1,384.95이며 환율 저가는 1,375.45입니다. 환율 변동은 -0.31%입니다."
"2024- 07- 18의 S&P500 종가는 5,544.59이며 S&P500 시가는 5,608.56를 기록했습니다. S&P500 고가는 5,614.05였고 S&P500 저가: 5,522.81입니다. S&P500 변동 퍼센티지는 -0.78%이고, 환율 종가는 1,384.48입니다. 환율 시가는 1,379.67입니다. 환율 고가는 1,387.05이며 환율 저가는 1,375.78입니다. 환율 변동은 0.43%입니다."
"2024- 07- 19의 S&P500 종가는 5,505.00이며 S&P500 시가는 5,543.37를 기록했습니다. S&P500 고가는 5,557.50였고 S&P500 저가: 5,497.04입니다. S&P500 변동 퍼센티지는 -0.71%이고, 환율 종가는 1,388.79입니다. 환율 시가는 1,386.01입니다. 환율 고가는 1,392.11이며 환율 저가는 1,383.65입니다. 환율 변동은 0.31%입니다."
"2024- 07- 22의 S&P500 종가는 5,564.41이며 S&P500 시가는 5,544.54를 기록했습니다. S&P500 고가는 5,570.36였고 S&P500 저가: 5,529.04입니다. S&P500 변동 퍼센티지는 1.08%이고, 환율 종가는 1,386.99입니다. 환율 시가는 1,389.83입니다. 환율 고가는 1,391.10이며 환율 저가는 1,386.60입니다. 환율 변동은 -0.13%입니다."
"2024- 07- 23의 S&P500 종가는 5,555.74이며 S&P500 시가는 5,565.30를 기록했습니다. S&P500 고가는 5,585.34였고 S&P500 저가: 5,550.90입니다. S&P500 변동 퍼센티지는 -0.16%이고, 환율 종가는 1,384.59입니다. 환율 시가는 1,387.99입니다. 환율 고가는 1,389.08이며 환율 저가는 1,382.04입니다. 환율 변동은 -0.17%입니다."
"2024- 07- 24의 S&P500 종가는 5,427.13이며 S&P500 시가는 5,505.84를 기록했습니다. S&P500 고가는 5,508.04였고 S&P500 저가: 5,419.98입니다. S&P500 변동 퍼센티지는 -2.31%이고, 환율 종가는 1,382.17입니다. 환율 시가는 1,386.05입니다. 환율 고가는 1,388.90이며 환율 저가는 1,378.76입니다. 환율 변동은 -0.17%입니다."
"2024- 07- 25의 S&P500 종가는 5,399.22이며 S&P500 시가는 5,428.70를 기록했습니다. S&P500 고가는 5,491.59였고 S&P500 저가: 5,390.95입니다. S&P500 변동 퍼센티지는 -0.51%이고, 환율 종가는 1,382.22입니다. 환율 시가는 1,383.75입니다. 환율 고가는 1,388.93이며 환율 저가는 1,379.20입니다. 환율 변동은 0.00%입니다."
"2024- 07- 26의 S&P500 종가는 5,459.10이며 S&P500 시가는 5,433.67를 기록했습니다. S&P500 고가는 5,488.32였고 S&P500 저가: 5,430.70입니다. S&P500 변동 퍼센티지는 1.11%이고, 환율 종가는 1,383.72입니다. 환율 시가는 1,383.73입니다. 환율 고가는 1,388.53이며 환율 저가는 1,381.10입니다. 환율 변동은 0.11%입니다."
"2024- 07- 29의 S&P500 종가는 5,463.54이며 S&P500 시가는 5,476.55를 기록했습니다. S&P500 고가는 5,487.74였고 S&P500 저가: 5,444.44입니다. S&P500 변동 퍼센티지는 0.08%이고, 환율 종가는 1,380.57입니다. 환율 시가는 1,384.82입니다. 환율 고가는 1,387.39이며 환율 저가는 1,379.69입니다. 환율 변동은 -0.23%입니다."
"2024- 07- 30의 S&P500 종가는 5,436.44이며 S&P500 시가는 5,478.73를 기록했습니다. S&P500 고가는 5,489.46였고 S&P500 저가: 5,401.70입니다. S&P500 변동 퍼센티지는 -0.50%이고, 환율 종가는 1,382.81입니다. 환율 시가는 1,381.84입니다. 환율 고가는 1,387.04이며 환율 저가는 1,379.39입니다. 환율 변동은 0.16%입니다."
"2024- 07- 31의 S&P500 종가는 5,522.30이며 S&P500 시가는 5,505.59를 기록했습니다. S&P500 고가는 5,551.51였고 S&P500 저가: 5,493.75입니다. S&P500 변동 퍼센티지는 1.58%이고, 환율 종가는 1,369.08입니다. 환율 시가는 1,384.32입니다. 환율 고가는 1,386.72이며 환율 저가는 1,366.79입니다. 환율 변동은 -0.99%입니다."
"2024- 08- 01의 S&P500 종가는 5,446.68이며 S&P500 시가는 5,537.84를 기록했습니다. S&P500 고가는 5,566.16였고 S&P500 저가: 5,410.42입니다. S&P500 변동 퍼센티지는 -1.37%이고, 환율 종가는 1,369.08입니다. 환율 시가는 1,369.18입니다. 환율 고가는 1,371.65이며 환율 저가는 1,360.93입니다. 환율 변동은 0.00%입니다."
"2024- 08- 02의 S&P500 종가는 5,346.56이며 S&P500 시가는 5,376.63를 기록했습니다. S&P500 고가는 5,383.89였고 S&P500 저가: 5,302.03입니다. S&P500 변동 퍼센티지는 -1.84%이고, 환율 종가는 1,356.63입니다. 환율 시가는 1,370.39입니다. 환율 고가는 1,378.80이며 환율 저가는 1,357.31입니다. 환율 변동은 -0.91%입니다."
"2024- 08- 05의 S&P500 종가는 5,186.33이며 S&P500 시가는 5,151.14를 기록했습니다. S&P500 고가는 5,250.89였고 S&P500 저가: 5,119.26입니다. S&P500 변동 퍼센티지는 -3.00%이고, 환율 종가는 1,366.40입니다. 환율 시가는 1,358.14입니다. 환율 고가는 1,374.40이며 환율 저가는 1,354.48입니다. 환율 변동은 0.72%입니다."
"2024- 08- 06의 S&P500 종가는 5,240.03이며 S&P500 시가는 5,206.42를 기록했습니다. S&P500 고가는 5,312.34였고 S&P500 저가: 5,193.56입니다. S&P500 변동 퍼센티지는 1.04%이고, 환율 종가는 1,374.52입니다. 환율 시가는 1,368.14입니다. 환율 고가는 1,380.49이며 환율 저가는 1,365.78입니다. 환율 변동은 0.59%입니다."
"2024- 08- 07의 S&P500 종가는 5,199.50이며 S&P500 시가는 5,293.13를 기록했습니다. S&P500 고가는 5,330.64였고 S&P500 저가: 5,195.54입니다. S&P500 변동 퍼센티지는 -0.77%이고, 환율 종가는 1,374.47입니다. 환율 시가는 1,375.65입니다. 환율 고가는 1,379.61이며 환율 저가는 1,372.67입니다. 환율 변동은 0.00%입니다."
"2024- 08- 08의 S&P500 종가는 5,319.31이며 S&P500 시가는 5,252.57를 기록했습니다. S&P500 고가는 5,328.03였고 S&P500 저가: 5,233.85입니다. S&P500 변동 퍼센티지는 2.30%이고, 환율 종가는 1,373.43입니다. 환율 시가는 1,376.15입니다. 환율 고가는 1,380.26이며 환율 저가는 1,373.70입니다. 환율 변동은 -0.08%입니다."
"2024- 08- 09의 S&P500 종가는 5,344.16이며 S&P500 시가는 5,314.66를 기록했습니다. S&P500 고가는 5,358.67였고 S&P500 저가: 5,300.84입니다. S&P500 변동 퍼센티지는 0.47%이고, 환율 종가는 1,364.19입니다. 환율 시가는 1,374.06입니다. 환율 고가는 1,378.06이며 환율 저가는 1,360.68입니다. 환율 변동은 -0.67%입니다."
"2024- 08- 12의 S&P500 종가는 5,344.39이며 S&P500 시가는 5,351.88를 기록했습니다. S&P500 고가는 5,371.20였고 S&P500 저가: 5,324.37입니다. S&P500 변동 퍼센티지는 0.00%이고, 환율 종가는 1,368.88입니다. 환율 시가는 1,365.19입니다. 환율 고가는 1,373.94이며 환율 저가는 1,363.11입니다. 환율 변동은 0.34%입니다."
"2024- 08- 13의 S&P500 종가는 5,434.43이며 S&P500 시가는 5,376.98를 기록했습니다. S&P500 고가는 5,436.50였고 S&P500 저가: 5,376.98입니다. S&P500 변동 퍼센티지는 1.68%이고, 환율 종가는 1,361.41입니다. 환율 시가는 1,370.33입니다. 환율 고가는 1,373.90이며 환율 저가는 1,361.94입니다. 환율 변동은 -0.55%입니다."
"2024- 08- 14의 S&P500 종가는 5,455.21이며 S&P500 시가는 5,442.36를 기록했습니다. S&P500 고가는 5,463.22였고 S&P500 저가: 5,415.91입니다. S&P500 변동 퍼센티지는 0.38%이고, 환율 종가는 1,356.00입니다. 환율 시가는 1,362.94입니다. 환율 고가는 1,365.31이며 환율 저가는 1,353.29입니다. 환율 변동은 -0.40%입니다."
"2024- 08- 15의 S&P500 종가는 5,543.22이며 S&P500 시가는 5,501.13를 기록했습니다. S&P500 고가는 5,546.23였고 S&P500 저가: 5,501.13입니다. S&P500 변동 퍼센티지는 1.61%이고, 환율 종가는 1,364.22입니다. 환율 시가는 1,358.30입니다. 환율 고가는 1,367.07이며 환율 저가는 1,354.51입니다. 환율 변동은 0.61%입니다."
"2024- 08- 16의 S&P500 종가는 5,554.25이며 S&P500 시가는 5,530.50를 기록했습니다. S&P500 고가는 5,561.98였고 S&P500 저가: 5,525.17입니다. S&P500 변동 퍼센티지는 0.20%이고, 환율 종가는 1,349.11입니다. 환율 시가는 1,365.17입니다. 환율 고가는 1,366.50이며 환율 저가는 1,349.15입니다. 환율 변동은 -1.11%입니다."
"2024- 08- 19의 S&P500 종가는 5,608.25이며 S&P500 시가는 5,557.23를 기록했습니다. S&P500 고가는 5,608.30였고 S&P500 저가: 5,550.74입니다. S&P500 변동 퍼센티지는 0.97%이고, 환율 종가는 1,331.64입니다. 환율 시가는 1,350.04입니다. 환율 고가는 1,350.95이며 환율 저가는 1,329.79입니다. 환율 변동은 -1.29%입니다."
"2024- 08- 20의 S&P500 종가는 5,597.12이며 S&P500 시가는 5,602.88를 기록했습니다. S&P500 고가는 5,620.51였고 S&P500 저가: 5,585.50입니다. S&P500 변동 퍼센티지는 -0.20%이고, 환율 종가는 1,327.54입니다. 환율 시가는 1,332.35입니다. 환율 고가는 1,337.10이며 환율 저가는 1,324.32입니다. 환율 변동은 -0.31%입니다."
"2024- 08- 21의 S&P500 종가는 5,620.85이며 S&P500 시가는 5,603.09를 기록했습니다. S&P500 고가는 5,632.68였고 S&P500 저가: 5,591.57입니다. S&P500 변동 퍼센티지는 0.42%이고, 환율 종가는 1,332.76입니다. 환율 시가는 1,329.29입니다. 환율 고가는 1,340.50이며 환율 저가는 1,326.22입니다. 환율 변동은 0.39%입니다."
"2024- 08- 22의 S&P500 종가는 5,570.64이며 S&P500 시가는 5,637.77를 기록했습니다. S&P500 고가는 5,643.22였고 S&P500 저가: 5,560.95입니다. S&P500 변동 퍼센티지는 -0.89%이고, 환율 종가는 1,341.29입니다. 환율 시가는 1,334.28입니다. 환율 고가는 1,344.31이며 환율 저가는 1,331.39입니다. 환율 변동은 0.64%입니다."
"2024- 08- 23의 S&P500 종가는 5,634.61이며 S&P500 시가는 5,602.49를 기록했습니다. S&P500 고가는 5,641.82였고 S&P500 저가: 5,585.16입니다. S&P500 변동 퍼센티지는 1.15%이고, 환율 종가는 1,323.43입니다. 환율 시가는 1,342.70입니다. 환율 고가는 1,344.07이며 환율 저가는 1,323.35입니다. 환율 변동은 -1.33%입니다."
"2024- 08- 26의 S&P500 종가는 5,616.84이며 S&P500 시가는 5,639.66를 기록했습니다. S&P500 고가는 5,651.62였고 S&P500 저가: 5,602.34입니다. S&P500 변동 퍼센티지는 -0.32%이고, 환율 종가는 1,327.48입니다. 환율 시가는 1,324.78입니다. 환율 고가는 1,329.95이며 환율 저가는 1,317.81입니다. 환율 변동은 0.31%입니다."
"2024- 08- 27의 S&P500 종가는 5,625.80이며 S&P500 시가는 5,602.89를 기록했습니다. S&P500 고가는 5,631.18였고 S&P500 저가: 5,593.48입니다. S&P500 변동 퍼센티지는 0.16%이고, 환율 종가는 1,325.77입니다. 환율 시가는 1,328.65입니다. 환율 고가는 1,335.54이며 환율 저가는 1,326.50입니다. 환율 변동은 -0.13%입니다."
""
