일자,요일,중식계,석식계,month,corona,day_gap,중식_국,중식_메인1,중식_메인2,석식_국,석식_메인1,석식_메인2,출근,휴가비율,출장비율,야근비율,재택비율
2016-04-20,3,849.0,504.0,4,0,0,근대된장국,매콤떡갈비조림,청포묵무침,어묵국,닭볶음탕,새송이버섯전,2334.0,0.017782822550132426,0.09912977676882331,0.0,0.0
2016-04-21,2,940.0,531.0,4,0,0,대구매운탕,쇠고기볶음,옥수수전,팽이버섯국,해물까스*탈탈소스,쫄면무침,2313.0,0.024971623155505107,0.09988649262202043,0.13488975356679636,0.0
2016-04-22,1,698.0,557.0,4,0,1,북어국,등갈비김치찜,연근조림,순두부찌개,탕수어,꽃맛살볶음,2218.0,0.056753688989784334,0.10404842981460462,0.0387736699729486,0.0
2016-04-25,5,1227.0,528.0,4,0,0,콩나물국,돈간장불고기,김치전,알탕,순살깐풍기,모둠묵*양념장,2346.0,0.036322360953461974,0.07604994324631101,0.11977834612105712,0.0
2016-04-26,4,795.0,568.0,4,0,0,쇠고기무국,주꾸미볶음,치즈계란말이,맑은국,쇠고기퀘사디아,오이무침,2365.0,0.019296254256526674,0.08588724933787363,0.12854122621564482,0.0
2016-04-27,3,1028.0,490.0,4,0,0,미소장국,궁중떡찜,알감자버터구이,청국장찌개,코다리무조림,비엔나케찹볶음,2338.0,0.02686341278849792,0.08853575482406356,0.0,0.0
2016-04-28,2,811.0,508.0,4,0,0,미역국,양념파닭,동그랑땡부침,비빔메밀국수,가쯔오장국,탕수만두,2318.0,0.021188043889519486,0.10177828225501324,0.08455565142364108,0.0
2016-04-29,1,652.0,507.0,4,0,1,돈육김치찌개,미트볼조림,고등어카레구이,들깨버섯탕,고추잡채*꽃빵,두부계란구이,2222.0,0.05259175179720015,0.10669693530079455,0.012601260126012601,0.0
2016-05-02,5,1242.0,551.0,5,0,0,시금치국,닭갈비,맛살겨자채,북어국,고추장불고기,모듬양채쌈,2341.0,0.030360531309297913,0.08121442125237191,0.12900469884664673,0.0
2016-05-03,4,964.0,515.0,5,0,0,무채국,모둠장조림,온두부,부대찌개*라면사리,탕수육,삼치구이,2319.0,0.024667931688804556,0.0952561669829222,0.12591634325140147,0.0
2016-05-04,3,723.0,636.0,5,0,1,쇠고기샤브국,오징어볶음,동태전,미소장국,수제미니햄버거,오이소박이,2241.0,0.056925996204933584,0.09259962049335864,0.0,0.0
2016-05-09,5,1216.0,591.0,5,0,0,매운어묵국,훈제오리구이,무쌈/양파절임,닭개장,가자미튀김,모둠소시지구이,2301.0,0.038330170777988615,0.08842504743833017,0.14950021729682747,0.0
2016-05-10,4,1008.0,519.0,5,0,0,콩나물국,버섯불고기,오징어초무침,가쯔오국,찹쌀순대볶음,감자만두,2330.0,0.020113851992409868,0.09563567362428843,0.15021459227467812,0.0
2016-05-11,3,915.0,423.0,5,0,0,시래기된장국,돈육칠리강정,멸치크랜베리볶음,콩비지찌개,해물누룽지탕,치즈계란말이,2309.0,0.022770398481973434,0.10094876660341556,0.0,0.0
2016-05-12,2,753.0,532.0,5,0,0,오징어국,찜닭,꽃맛살볶음,잔치국수,멕시칸샐러드,마늘쫑무침,2290.0,0.026944971537001896,0.10398481973434535,0.13755458515283842,0.0
2016-05-13,1,761.0,517.0,5,0,1,된장찌개,매운돼지갈비찜,해물파전,쇠고기무국,코다리강정,잡채,2182.0,0.07020872865275142,0.10170777988614801,0.03666361136571952,0.0
2016-05-16,5,1180.0,594.0,5,0,0,감자고추장찌개,돈육굴소스볶음,계란찜,닭곰탕,주꾸미볶음,두부계란부침,2320.0,0.03757115749525617,0.08197343453510436,0.15862068965517243,0.0
2016-05-17,4,899.0,633.0,5,0,0,들깨버섯탕,고등어김치말이,고기전,우동,떡볶이,군만두,2340.0,0.01555977229601518,0.09639468690702087,0.16111111111111112,0.0
2016-05-18,3,856.0,456.0,5,0,0,미소장국,치킨핑거,연근땅콩조림,뼈해장국,황태양념구이,메추리알조림,2307.0,0.026944971537001896,0.09753320683111955,0.0,0.0
2016-05-19,2,898.0,529.0,5,0,0,열무된장국,미니채소떡갈비,골뱅이무침*소면,팽이장국,사천식탕수육,콩나물무침,2304.0,0.024667931688804556,0.10094876660341556,0.11458333333333333,0.0
2016-05-20,1,653.0,487.0,5,0,1,순두부찌개,닭오븐구이,새송이버섯전,육개장,꽁치허브구이,비엔나케찹볶음,2179.0,0.06413662239089184,0.10891840607210626,0.02569986232216613,0.0
2016-05-23,5,1160.0,613.0,5,0,0,북어콩나물국,쇠고기불고기,옥수수전,수제비국,데리야끼파닭,새송이버섯볶음,2344.0,0.0333965844402277,0.07703984819734346,0.15443686006825938,0.0
2016-05-24,4,1107.0,465.0,5,0,0,한방갈비탕,꼬지삼색전,오징어숙회무침,맑은국,고구마치즈구이,락교,2327.0,0.02808349146110057,0.0888045540796964,0.1332187365706919,0.0
2016-05-25,3,938.0,454.0,5,0,0,미역장국,탕수어,우엉조림,된장찌개,등갈비김치찜,해물까스*탈탈소스,2305.0,0.02732447817836812,0.09791271347248577,0.0,0.0
2016-05-26,2,783.0,520.0,5,0,0,쇠고기해장국,갈치구이,비엔나감자볶음,계란파국,춘권*칠리소스,과일샐러드,2286.0,0.02428842504743833,0.10815939278937381,0.09930008748906387,0.0
2016-05-27,1,660.0,493.0,5,0,1,배추된장국,닭양념조림,동그랑땡전,꽃게탕,돈육청경채볶음,계란말이,2181.0,0.0618595825426945,0.11043643263757116,0.027968821641448878,0.0
2016-05-30,5,1231.0,631.0,5,0,0,콩나물김치국,누룽지탕수육,명태조림,해물순두부찌개,미니함박조림,도토리묵무침,2347.0,0.027703984819734344,0.08159392789373814,0.12398806987643801,0.0
2016-05-31,4,921.0,535.0,5,0,0,근대된장국,닭갈비,잡채,쌀국수,수제고로케*케찹,꽃맛살샐러드,2335.0,0.018975332068311195,0.09487666034155598,0.07922912205567452,0.0
2016-06-01,3,916.0,490.0,6,0,0,강된장찌개,오징어튀김,궁중떡볶이,어묵국,고추장불고기,감자채햄볶음,2317.0,0.02844141069397042,0.09290860826697005,0.0,0.0
2016-06-02,2,850.0,483.0,6,0,0,오이미역냉국,모둠장조림,두부구이,유부장국,고추잡채*꽃빵,땅콩조림,2298.0,0.030716723549488054,0.09783845278725825,0.1309834638816362,0.0
2016-06-03,1,721.0,548.0,6,0,1,차돌박이찌개,찜닭,김치전,시래기국,수제돈까스,단호박범벅/오이피클,2178.0,0.07243079256731134,0.10163064087978764,0.02938475665748393,0.0
2016-06-07,4,1244.0,629.0,6,0,0,북어계란국,돈육굴소스볶음,홍어채무침,가쯔오장국,미트볼케찹조림,계란찜,2330.0,0.04361016306408798,0.07281001137656427,0.1669527896995708,0.0
2016-06-08,3,931.0,500.0,6,0,0,참치김치찌개,순살깐풍기,맛살콩나물냉채,육개장,자반고등어구이,우엉잡채,2339.0,0.021994690936670457,0.09101251422070535,0.0,0.0
2016-06-09,2,829.0,506.0,6,0,0,매운콩나물국,돼지갈비찜,부추전,열무물국수,오징어무침,야채튀김,2316.0,0.026166097838452786,0.09556313993174062,0.15500863557858377,0.0
2016-06-10,1,697.0,509.0,6,0,1,된장찌개,오징어볶음,모둠소시지구이,어묵국,버섯불고기,두부조림,2216.0,0.05726204019719378,0.10238907849829351,0.027527075812274367,0.0
2016-06-13,5,1243.0,590.0,6,0,0,북어콩나물국,제육볶음,참치야채전,들깨버섯탕,삼치데리야끼구이,햄맛살볶음,2330.0,0.037163443306788016,0.07925673113386424,0.1781115879828326,0.0
2016-06-14,4,973.0,593.0,6,0,0,배추된장국,닭양념조림,탕평채,미소장국,훈제오리냉채,군만두,2340.0,0.02123625331816458,0.09139173302995829,0.18461538461538463,0.0
2016-06-15,3,984.0,535.0,6,0,0,맑은국,떡갈비조림,쫄면무침,닭개장,해물청경채볶음,계란말이,2317.0,0.022753128555176336,0.09859689040576412,0.0,0.0
2016-06-16,2,800.0,524.0,6,0,0,부대찌개,가자미양념찜,고기전,냉모밀국수,치킨핑거*요거트D,떡볶이,2301.0,0.027682973075464544,0.09973454683352294,0.14602346805736635,0.0
2016-06-17,1,694.0,484.0,6,0,1,꽃게탕,돈육강정,버섯잡채,소고기미역국,유산슬,해물가스*탈탈소스,2181.0,0.06257110352673492,0.11035267349260523,0.027510316368638238,0.0
2016-06-20,5,1146.0,585.0,6,0,0,어묵국,레몬탕수육,명태엿장조림,호박잎찌개,쇠불고기,두부계란부침,2279.0,0.03830109973454683,0.09745923397800531,0.1509433962264151,0.0
2016-06-21,4,1091.0,645.0,6,0,0,대구찌개,간장치킨,마늘쫑볶음,비빔국수,콘샐러드,찐햇감자,2340.0,0.018581721653394008,0.09404626469472886,0.14914529914529914,0.0
2016-06-22,3,1022.0,467.0,6,0,0,시래기국,돈삼겹보쌈,새송이버섯전,닭곰탕,찹쌀순대볶음,연근땅콩조림,2332.0,0.01782328403488813,0.09783845278725825,0.0,0.0
2016-06-23,2,877.0,588.0,6,0,0,쇠고기무국,매콤낙지볶음,메추리알조림,토마토스파게티,양송이스프,쇠고기퀘사디아,2313.0,0.020098596890405763,0.10276829730754646,0.14958927799394725,0.0
2016-06-24,1,805.0,475.0,6,0,1,도토리묵냉국,목살데리야끼구이,골뱅이무침&소면,순두부찌개,해물누룽지탕,버섯메밀전,2184.0,0.06408797876374668,0.10769814182783466,0.023809523809523808,0.0
2016-06-27,5,1142.0,609.0,6,0,0,배추된장국,훈제오리구이,실곤약초무침,김치찌개,모둠장조림,주꾸미초무침,2314.0,0.03640500568828214,0.08608266970041714,0.12964563526361278,0.0
2016-06-28,4,917.0,535.0,6,0,0,육개장,고등어구이,닭가슴살냉채,계란국,탕수만두,멕시칸샐러드,2321.0,0.023890784982935155,0.09594235874099355,0.0973718224903059,0.0
2016-06-29,3,820.0,487.0,6,0,0,콩나물국,간장돼지갈비찜,계란말이,청국장찌개,아귀콩나물찜,비엔나컬리플라워볶음,2322.0,0.02540766021994691,0.09404626469472886,0.0,0.0
2016-06-30,2,886.0,446.0,6,0,0,버섯들깨찌개,닭오븐구이,김치전,김치말이국수,감자버터구이,견과류조림,2314.0,0.02882062950322336,0.09366704588547592,0.06525496974935177,0.0
2016-07-01,1,879.0,513.0,7,0,1,수제비국,유자청제육볶음,두부새싹구이,차돌박이된장찌개,깐풍기,옥수수전,2283.0,0.054861899356791526,0.08134695421869088,0.017958826106000875,0.0
2016-07-04,5,1292.0,582.0,7,0,0,감자고추장찌개,버섯불고기,맛살겨자초무침,열무된장국,닭볶음탕,궁중떡찜,2365.0,0.03329549754067348,0.07188800605372682,0.16279069767441862,0.0
2016-07-05,4,952.0,551.0,7,0,0,쇠고기미역국,꽁치김치말이찜,모둠소세지구이,맑은국,탕수어,쫄면무침,2362.0,0.02080968596292092,0.08550889141127507,0.15918712955122777,0.0
2016-07-06,3,939.0,484.0,7,0,0,가쯔오장국,닭강정,해물파전,시금치국,오징어볶음,새우까스*탈탈소스,2363.0,0.021188043889519486,0.08475217555807794,0.0,0.0
2016-07-07,2,857.0,494.0,7,0,0,된장찌개,갈치조림,돈육잡채,함박스테이크,단호박스프,옥수수감자범벅,2341.0,0.024214907302307985,0.09004918653045782,0.1452370781717215,0.0
2016-07-08,1,863.0,534.0,7,0,1,우무묵냉국,갈릭돈까스,감자볶음,알탕,고추잡채*꽃빵,동그랑땡전,2228.0,0.05864547862277715,0.09837306091562618,0.026929982046678635,0.0
2016-07-11,5,1115.0,630.0,7,0,0,호박잎찌개,돈육굴소스볶음,홍어채무침,부대찌개,가자미튀김,고기전,2312.0,0.04578130911842603,0.07945516458569807,0.1583044982698962,0.0
2016-07-12,4,919.0,519.0,7,0,0,건새우아욱국,순살파닭,꽃맛살볶음,쌀국수,수제핫도그,홍시드레싱샐러드,2348.0,0.02724177071509648,0.08437381763147939,0.16269165247018738,0.0
2016-07-13,3,866.0,483.0,7,0,0,오이냉국,사천식탕수육,감자만두,쇠고기샤브국,황태양념구이,베이컨계란말이,2323.0,0.02989027620128642,0.0911842603102535,0.0,0.0
2016-07-14,2,781.0,550.0,7,0,0,배추된장국,매운주꾸미볶음,동태전,물냉면,과일샐러드,무초절임,2307.0,0.03178206583427923,0.09534619750283768,0.13350671868227135,0.0
2016-07-15,1,867.0,503.0,7,0,1,북어계란국,등갈비김치찜,삼치구이,오징어국,쇠고기장조림,어묵볶음,2193.0,0.07150964812712826,0.09875141884222474,0.025079799361605107,0.0
2016-07-18,5,1158.0,596.0,7,0,0,순두부찌개,돈육떡강정,새송이버섯전,느타리버섯국,고등어카레구이,비엔나감자볶음,2309.0,0.04767309875141884,0.07869844873250094,0.14854915547856215,0.0
2016-07-19,4,888.0,424.0,7,0,0,시래기국,목살데리야끼,늙은호박전,맑은국,너비아니*부추생채,실곤약초무침,2299.0,0.04199772985244041,0.088157396897465,0.1143975641583297,0.0
2016-07-20,3,844.0,443.0,7,0,0,사골우거지탕,미트볼조림,골뱅이무침*소면,동태찌개,치킨핑거,버섯메밀전,2281.0,0.04691638289822172,0.09004918653045782,0.0,0.0
2016-07-21,2,733.0,446.0,7,0,0,우묵콩국,고추장불고기,명태엿장조림,계란파국,유산슬,크랜베리단호박샐러드,2273.0,0.04351116155883466,0.09648127128263337,0.11570611526616806,0.0
2016-07-22,1,661.0,501.0,7,0,1,미소장국,고구마치즈구이,춘권,돈육김치찌개,깐풍기,옥수수전,2120.0,0.09496783957623912,0.10291335603480893,0.022169811320754716,0.0
2016-07-25,5,1086.0,584.0,7,0,0,쇠고기미역국,불닭볶음,해파리겨자채,콩가루배추국,돈까스,꽈리고추어묵조림,2186.0,0.10480514566780175,0.0681044267877412,0.11299176578225069,0.0
2016-07-26,4,927.0,582.0,7,0,0,청국장찌개,미니채소떡갈비,계란말이,잔치국수,오징어무침,열대과일샐러드,2198.0,0.09837306091562618,0.06999621642073402,0.12238398544131028,0.0
2016-07-27,3,872.0,423.0,7,0,0,시금치국,동파삼겹수육,감자채볶음,어묵국,닭볶음탕,모둠버섯볶음,2152.0,0.11312902005297011,0.07264472190692395,0.0,0.0
2016-07-28,2,816.0,434.0,7,0,0,꽃게탕,훈제오리냉채,동그랑땡전,맑은국,순대야채볶음,연두부*양념,2099.0,0.12864169504351117,0.0771850170261067,0.09385421629347308,0.0
2016-07-29,1,671.0,472.0,7,0,1,도토리묵냉국,꽁치오븐구이,마늘쫑무침,아욱국,등뼈묵은지찜,해물파전,1950.0,0.18388195232690124,0.07832009080590238,0.018461538461538463,0.0
2016-08-01,5,1055.0,510.0,8,0,0,부대찌개*라면사리,갈치구이,닭살겨자냉채,콩나물국,소불고기,날치알계란찜,2023.0,0.19364599092284418,0.041225416036308624,0.11764705882352941,0.0
2016-08-02,4,829.0,515.0,8,0,0,팽이장국,꽃맛살볶음,웨지감자오븐구이,짬뽕수제비국,모둠장조림,가자미찜,2017.0,0.17397881996974282,0.06316187594553707,0.13287059990084282,0.0
2016-08-03,3,802.0,363.0,8,0,0,버섯들깨탕,레몬탕수육,메추리알조림,냉모밀국수,소고기퀘사디아,단무지/락교,1976.0,0.1834341906202723,0.06921331316187594,0.0,0.0
2016-08-04,2,671.0,456.0,8,0,0,복숭아미역냉국,닭데리야끼조림,비엔나감자볶음,가쯔오장국,떡볶이,양장피잡채,1977.0,0.17662632375189108,0.07564296520423601,0.1325240263024785,0.0
2016-08-05,1,641.0,448.0,8,0,1,된장찌개,매콤돼지갈비찜,연근/오징어튀김,쇠고기무국,쭈꾸미볶음,두부구이*양념장,1894.0,0.20347957639939485,0.08018154311649017,0.024287222808870117,0.0
2016-08-08,5,1038.0,480.0,8,0,0,호박잎된장국,유자청제육볶음,오꼬노미계란말이,북어국,찜닭,탕평채,2043.0,0.1592284417549168,0.0680786686838124,0.12481644640234948,0.0
2016-08-09,4,874.0,470.0,8,0,0,콩나물국,미니함박조림,오징어브로컬리숙회,콩국수,멕시칸샐러드,찐감자/수박,2070.0,0.14826021180030258,0.06883509833585477,0.13816425120772946,0.0
2016-08-10,3,842.0,451.0,8,0,0,사과오이냉국,장어강정,우엉잡채,닭개장,해물청경채볶음,옥수수전,2045.0,0.15544629349470498,0.07110438729198185,0.0,0.0
2016-08-11,2,845.0,530.0,8,0,0,시래기국,삼겹살오븐구이,매운어묵볶음,스파게티/크림스프,치킨텐더,마늘바게뜨/음료,2029.0,0.15620272314674735,0.07639939485627836,0.14539181862986694,0.0
2016-08-12,1,708.0,410.0,8,0,1,맑은국,새우까스&탈탈소스,고구마범벅,김치찌개,삼치된장구이,모듬소세지구이,1842.0,0.22201210287443268,0.08131618759455371,0.03257328990228013,0.0
2016-08-16,4,1023.0,561.0,8,0,0,닭곰탕,고등어조림,비엔나피망볶음,미소장국,과일샐러드,비빔야채만두,2115.0,0.13313161875945537,0.06694402420574887,0.16595744680851063,0.0
2016-08-17,3,924.0,465.0,8,0,0,대구매운탕,오징어볶음,고기전,콩비지찌개,돈육굴소스볶음,날치알계란찜,2142.0,0.11762481089258699,0.07223903177004538,0.0,0.0
